Diagnostics/StepsInEval,Diagnostics/TrajsInEval,Diagnostics/CumEvalTime,Diagnostics/Iteration,Diagnostics/SamplerIteration,Diagnostics/CumTime (s),Diagnostics/CumSteps,Diagnostics/CumUpdates,Diagnostics/ReplayRatio,Diagnostics/CumReplayRatio,Diagnostics/StepsPerSecond,Diagnostics/NonEvalSamplesPerSecond,Diagnostics/UpdatesPerSecond,Diagnostics/OptThrottle,LengthAverage,LengthStd,LengthMedian,LengthMin,LengthMax,ReturnAverage,ReturnStd,ReturnMedian,ReturnMin,ReturnMax,NonzeroRewardsAverage,NonzeroRewardsStd,NonzeroRewardsMedian,NonzeroRewardsMin,NonzeroRewardsMax,DiscountedReturnAverage,DiscountedReturnStd,DiscountedReturnMedian,DiscountedReturnMin,DiscountedReturnMax,GameScoreAverage,GameScoreStd,GameScoreMedian,GameScoreMin,GameScoreMax,lossAverage,lossStd,lossMedian,lossMin,lossMax,gradNormAverage,gradNormStd,gradNormMedian,gradNormMin,gradNormMax,tdAbsErrAverage,tdAbsErrStd,tdAbsErrMedian,tdAbsErrMin,tdAbsErrMax,priorityAverage,priorityStd,priorityMedian,priorityMin,priorityMax
21317,122,2.310269355773926,0,0,3.660903215408325,0,0,0.0,0.0,nan,nan,nan,1.0,174.7295081967213,59.60966431784361,163.0,112,436,1.4262295081967213,1.3725531599301297,1.0,0.0,7.0,1.4262295081967213,1.3725531599301297,1.0,0,7,1.0352671503359374,0.9249301221961684,0.8579672599829772,0.0,3.8474467661115046,1.4262295081967213,1.3725531599301297,1.0,0.0,7.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18847,132,4.119352579116821,1286,946,624.364804983139,9989760,1287,0.9894291754756871,0.9894291754756871,16094.243924598686,16141.288795235767,2.0734524083620136,0.7230563566453456,142.78030303030303,29.935616365475088,119.0,113,180,0.8636363636363636,0.9906588508046984,0.0,0.0,2.0,0.8636363636363636,0.9906588508046984,0.0,0,2,0.6405288823872182,0.7356375198219467,0.0,0.0,1.5505416684136275,0.8636363636363636,0.9906588508046984,0.0,0.0,2.0,0.0002708635393694854,0.0004277908285973982,5.5229782446986064e-05,2.4018015665205894e-06,0.006651002448052168,0.0012147869039030282,0.0013430791542341544,0.0008625399540110407,6.935495851369719e-05,0.01691351317606039,0.020498062,0.05692736,0.0060847774,0.0,1.2349119,0.15731037,0.1391596,0.12453463,6.74529e-05,1.1285648
28216,120,6.731367111206055,2587,1892,1253.4763073921204,19979520,2588,1.0001921968095329,0.99481068614261,15879.156495704512,15945.360201097243,2.0679958878803464,0.7188097828085737,235.13333333333333,48.95353806303369,194.5,188,294,2.8833333333333333,0.9931711276959723,2.0,2.0,4.0,2.8833333333333333,0.9931711276959723,2.0,2,4,2.198017967764257,0.5593412554415275,1.71623039964261,1.6828927036102126,2.896564689641896,2.8833333333333333,0.9931711276959723,2.0,2.0,4.0,2.8225424953804067e-05,8.8985419349728e-05,7.939842362247873e-06,1.0094260005644173e-06,0.0009738558437675238,0.0007982725136002879,0.0024900582050641417,0.00047026773940218403,2.694759501910648e-05,0.0756818024700345,0.0069378125,0.025708156,0.0033127316,0.0,0.9592978,0.063751236,0.1029514,0.017601177,2.4005305e-05,1.1659513
24889,125,9.242064714431763,3888,2838,1870.8870522975922,29969280,3889,1.0001921968095329,0.9966045230315843,16180.087700821396,16246.152596390457,2.107187169538471,0.7316211268312591,199.112,66.79942706341126,210.0,113,363,1.848,1.523448719189458,2.0,0.0,6.0,1.848,1.523448719189458,2.0,0,6,1.3273600389375857,1.013404643430696,1.363315825850921,0.0,3.650350765978118,1.848,1.523448719189458,2.0,0.0,6.0,2.7675366846026868e-05,3.429973437157311e-05,1.576084287080448e-05,8.579935979469155e-07,0.00030088922358118,0.0010728113066434423,0.0013930623030658713,0.0005624081578278876,3.814616460525274e-05,0.01314219337356059,0.00537784,0.023053827,0.0019525744,0.0,1.1676226,0.057362456,0.092600435,0.025542434,5.8023255e-05,1.1165011
24091,122,11.554233312606812,5188,3784,2503.004059314728,39959040,5189,0.9994234095714011,0.9973092446665386,15803.656426110356,15861.675539168506,2.0565812746195564,0.7149261956258015,197.4672131147541,51.333078912080914,167.0,113,265,1.819672131147541,1.032396491398937,1.0,0.0,3.0,1.819672131147541,1.032396491398937,1.0,0,3,1.382707733735423,0.6855337245079952,0.9276389118674717,0.0,2.287276962358158,1.819672131147541,1.032396491398937,1.0,0.0,3.0,2.4041074190021252e-05,6.89788481447607e-05,1.124301525123883e-05,1.4676045339001575e-06,0.002009142190217972,0.0009286581192392337,0.0027069104712718253,0.00045860475000018537,7.721738401238185e-05,0.06109130814168959,0.005832578,0.0225217,0.0019721272,0.0,1.2032198,0.06714391,0.09070224,0.028849961,3.305124e-05,1.1158006
17636,125,13.467441320419312,6489,4730,3116.1935501098633,49948800,6490,1.0001921968095329,0.9978858350951374,16291.47294590139,16342.46294400345,2.121693244143774,0.7371122590653485,141.088,32.82828439014138,119.0,113,227,0.6,0.8390470785361211,0.0,0.0,3.0,0.6,0.8390470785361211,0.0,0,3,0.41327460629443674,0.561062800675264,0.0,0.0,2.159286673957529,0.6,0.8390470785361211,0.0,0.0,3.0,2.701623719256113e-05,3.195107683012847e-05,1.7489159290562384e-05,1.0105731007570284e-06,0.0005091374041512609,0.0008960276540539745,0.0008659359610702646,0.0006350903774221705,7.30754727602294e-05,0.007804265112205516,0.0053930427,0.02155668,0.0016762912,0.0,1.159209,0.059166342,0.082367025,0.028506579,8.063158e-06,1.1084939
31223,122,16.580368757247925,7790,5676,3735.1420238018036,59938560,7791,1.0001921968095329,0.9982702287142033,16139.889545914042,16221.47350984789,2.101952028800909,0.729379734954527,255.9262295081967,67.41201527781364,258.0,149,386,3.139344262295082,1.4503565066002118,3.0,1.0,6.0,3.139344262295082,1.4503565066002118,3.0,1,6,2.2361878701881013,0.8162036841388313,2.3481991329705925,0.8921050870283477,3.518861969344786,3.139344262295082,1.4503565066002118,3.0,1.0,6.0,3.387419056923599e-05,6.810919661113617e-05,7.625255420862231e-06,5.584544169323635e-07,0.0007080786745063961,0.000930155004649256,0.0019905776258113106,0.00034104485152758107,3.0964498511395735e-05,0.04113566592307966,0.0053423033,0.021617802,0.0014227193,0.0,0.8356198,0.05593061,0.08297661,0.022965902,2.9615823e-05,0.98244977
34464,120,19.998011350631714,9091,6622,4335.723850011826,69928320,9092,1.0001921968095329,0.9985447955849647,16633.470351642984,16728.665707140153,2.1662327150489626,0.7504919505379811,287.2,65.36915684530945,290.0,143,527,4.683333333333334,1.683168308742639,4.0,1.0,12.0,4.658333333333333,1.5942387594780847,4.0,1,9,2.917221516352897,0.71504646168229,2.8930524732381873,0.8631032605924442,5.263699842026381,4.683333333333334,1.683168308742639,4.0,1.0,12.0,0.00010851038838031599,6.707578315559549e-05,9.167570533463731e-05,1.2991526091354899e-05,0.0005181446322239935,0.0018990616357877682,0.0013330785354586808,0.0015290295402813365,0.0001332350569855634,0.00903113725314621,0.009391313,0.031945687,0.0026005444,0.0,1.1900795,0.1098246,0.108620174,0.069682404,2.0309817e-05,1.1049231
47784,121,24.73212766647339,10391,7568,4932.21955037117,79918080,10392,0.9994234095714011,0.9986546223332693,16747.41325709793,16881.393232287974,2.179395424337252,0.7542312544555083,394.90909090909093,129.24459481640304,358.0,166,636,7.991735537190083,3.9427637824385333,7.0,1.0,16.0,7.570247933884297,3.2672338902962994,7.0,1,14,4.3215797541508465,1.599514760919056,3.6568857796476184,0.7185672412601078,7.458008732013319,7.991735537190083,3.9427637824385333,7.0,1.0,16.0,0.000257232252623418,0.00023006829182511498,0.00017271734395762905,2.097596734529361e-05,0.0019407637882977724,0.0032718551288225565,0.006772924132821558,0.0022003853592114783,0.00024970996638268793,0.22312679215581244,0.014441399,0.040803075,0.003674289,0.0,1.2147831,0.14703111,0.11201835,0.12763955,2.0429725e-06,1.1288743
76237,120,31.472152709960938,11692,8514,5496.152910709381,89907840,11693,1.0001921968095329,0.998825463941743,17714.43348201423,17928.71408757247,2.3070101744286657,0.799001073580723,635.3083333333333,85.69994125176257,623.0,362,804,16.408333333333335,4.164324341621606,14.0,7.0,25.0,13.983333333333333,2.1251797309613343,14.0,7,19,6.5443169035571165,0.857055643513825,6.244530178544291,4.172374493116488,8.239913017034612,16.408333333333335,4.164324341621606,14.0,7.0,25.0,0.0010083122097484074,0.0003697238727702552,0.0009862598963081837,0.0001558465010020882,0.002338871592655778,0.007877420830829577,0.003665833427523786,0.007290700973336049,0.0011992019707894473,0.03178579733867919,0.026647357,0.05866726,0.008694619,0.0,1.4115274,0.22002186,0.13452624,0.20263268,5.046022e-05,1.3235769
106091,122,40.51482343673706,12993,9460,6054.142520666122,99897600,12994,1.0001921968095329,0.998962137228522,17903.1290578591,18198.04299120991,2.3315846330917545,0.8072544755657118,869.5983606557377,220.02740737760956,863.0,549,1185,30.16393442622951,11.847639770302255,32.0,11.0,51.0,21.16393442622951,6.30425390567159,20.5,11,30,8.42308899199946,1.4147516536041116,8.743929370370802,5.246403513945337,11.468615340412558,30.16393442622951,11.847639770302255,32.0,11.0,51.0,0.0016596947877981388,0.0006383100274203051,0.001544955768622458,0.0002023001725319773,0.004346728324890137,0.010791447652406989,0.005552445511549907,0.009508666684330595,0.001084724938290437,0.045408574997698986,0.03598574,0.07305252,0.011955835,0.0,1.2808725,0.2647321,0.16806094,0.22060072,0.00016978756,1.3954616
108001,121,49.84221363067627,14294,10406,6608.292542219162,109887360,14295,1.0001921968095329,0.9990739608267958,18027.176056049015,18335.802195073662,2.3477396903348797,0.8125056465597347,892.5702479338843,257.59407577649205,837.0,563,1395,35.429752066115704,11.772517685941335,34.0,13.0,60.0,23.305785123966942,7.209776392042252,22.0,13,37,9.124678949003899,0.8774105294960628,9.239587668954696,5.345751704988853,11.631647852554355,35.429752066115704,11.772517685941335,34.0,13.0,60.0,0.0022995499552203934,0.0005434676154951981,0.002275975188240409,0.00037756431265734136,0.004356240853667259,0.013282956522420153,0.005469128274822865,0.012201105094760864,0.002234839253512131,0.04319313044965507,0.04815191,0.087288514,0.018361304,0.0,1.3095798,0.30851883,0.18626186,0.28614792,0.00046702474,1.6150732
151055,120,62.98373579978943,15594,11352,7164.368957519531,119877120,15595,0.9994234095714011,0.9991030815555129,17964.725216054972,18399.5542124513,2.337808193677472,0.8093787165155362,1258.7916666666667,243.67009445263398,1324.0,686,1645,54.55,15.527314642268314,52.0,21.0,84.0,32.375,6.795908695678599,34.0,15,43,9.962467320439758,1.0664156401604958,10.066603705242898,6.6381845280291225,12.924193246496491,54.55,15.527314642268314,52.0,21.0,84.0,0.0028005326562561095,0.000885039743139083,0.0026759932516142726,0.0006531683611683547,0.011290853843092918,0.015850056529553905,0.007844107848044774,0.014003166068071574,0.003756878979558711,0.0901711394645665,0.057559382,0.09538029,0.024791738,0.0,3.231504,0.3306703,0.18937385,0.31463048,0.0010955539,3.036295
158490,120,77.21778988838196,16895,12298,7719.205723285675,129866880,16896,1.0001921968095329,0.999186859651976,18004.86308113646,18478.930616164773,2.344833796663637,0.8110255007070151,1320.75,200.71211763784135,1309.5,830,1851,77.45833333333333,28.9637405023745,71.0,38.0,136.0,37.05833333333333,7.561190198786314,35.0,20,52,10.908328474220378,1.0245467863331743,11.007856974296132,8.60413712502251,12.858120496227228,77.45833333333333,28.9637405023745,71.0,38.0,136.0,0.003221646120659377,0.000753658093313364,0.003187127411365509,0.0012631636345759034,0.006854556035250425,0.016651069072104455,0.006163718135736732,0.01528346236878763,0.005524039778637616,0.07794715288866777,0.0647245,0.10414158,0.029145151,0.0,3.021492,0.35112837,0.21312071,0.3395397,0.026424086,2.8296516
159442,120,90.85058116912842,18196,13244,8272.438573360443,139856640,18197,1.0001921968095329,0.9992586694489443,18057.06222732419,18513.267071035167,2.351631866806487,0.8137312345315912,1328.6833333333334,222.48366918844974,1337.0,518,1657,100.48333333333333,77.13278413806212,72.0,13.0,287.0,41.88333333333333,12.49412083964116,39.5,13,65,10.021631139881759,2.275050853381104,9.464451441373352,5.059163639127184,17.61240428538636,100.48333333333333,77.13278413806212,72.0,13.0,287.0,0.004309859547547876,0.0014105476932795827,0.0040939562022686005,0.0016720815328881145,0.013921061530709267,0.022125931980202955,0.019595872237166342,0.020028476929134495,0.006711870271126102,0.6409999628544575,0.080791414,0.12516859,0.03662537,0.0,4.3168416,0.3978211,0.26885462,0.37061295,0.027116084,3.9431489
157019,121,104.7927029132843,19497,14190,8825.776778936386,149846400,19498,1.0001921968095329,0.9993209046063168,18053.62416571641,18520.267943056384,2.351184116494996,0.8134052574726368,1297.6776859504132,212.77816853760027,1329.0,701,1901,82.66115702479338,63.971785325013066,68.0,19.0,371.0,39.099173553719005,11.740587901619929,35.0,19,80,10.661992078939491,2.8611412679907646,10.197572552124774,7.554693442633619,31.52786521253456,82.66115702479338,63.971785325013066,68.0,19.0,371.0,0.005018831928655059,0.0013634971288659676,0.004837812390178442,0.0020948422607034445,0.011122496798634529,0.025375370680609573,0.009543599300649994,0.023226607558421146,0.0078026927286731235,0.08550259719493775,0.092245206,0.14176166,0.04107651,0.0,3.6744225,0.44226378,0.32641888,0.39456922,0.030318797,3.7043488
160709,122,118.7339596748352,20797,15136,9373.589899539948,159836160,20798,0.9994234095714011,0.9993273111666346,18235.707806694427,18711.90575226921,2.3730720406398906,0.8222934129567036,1317.2868852459017,235.55704747446737,1273.5,861,1978,114.17213114754098,106.1345181580363,66.0,26.0,362.0,43.549180327868854,18.078201010807298,35.5,23,86,11.393289497304814,2.819783113263396,10.584855128849815,8.206264803517271,23.77696756520651,114.17213114754098,106.1345181580363,66.0,26.0,362.0,0.005599585256736296,0.0017173131087776584,0.005303074372932315,0.0018001493299379945,0.014600121416151524,0.03041575904714677,0.013030769615907822,0.028119180795761152,0.009042697818249276,0.15939987214569715,0.09926827,0.14994797,0.045952097,0.0,4.0486307,0.454673,0.34855035,0.4045024,0.03439821,4.145319
135327,120,130.47434759140015,22098,16082,9921.030703544617,169825920,22099,1.0001921968095329,0.9993781867926875,18248.109981795944,18648.034797040422,2.3765126575930275,0.8238165673905923,1127.725,347.8777314541226,1156.0,482,1577,59.80833333333333,43.71675800600447,54.5,9.0,268.0,31.733333333333334,13.050372493619568,32.0,9,70,9.364003611316983,2.5173802531644895,9.318043539572802,4.851396833729172,16.26317067264413,59.80833333333333,43.71675800600447,54.5,9.0,268.0,0.006059596627495387,0.0018703565008106801,0.0057461499236524105,0.0025801686570048332,0.014211531728506088,0.03306113452007578,0.013373865434037575,0.030368246497227882,0.010437836887552355,0.11938777547125268,0.10448535,0.16456953,0.047394753,0.0,4.3411765,0.4868642,0.40148622,0.42037988,0.030168504,4.3451867
157684,120,144.2188422679901,23399,17028,10471.921180725098,179815680,23400,1.0001921968095329,0.9994234095714011,18133.840416208877,18597.849235384787,2.3616309482397724,0.8184757149700469,1314.0333333333333,408.89246616792644,1361.0,587,1880,171.74166666666667,132.6332346380633,130.5,13.0,356.0,50.96666666666667,25.730310703310384,49.0,13,86,12.840302366034662,5.2404204912932535,12.57958814767283,5.887546040850807,27.14643650373631,171.74166666666667,132.6332346380633,130.5,13.0,356.0,0.0071564407211704775,0.002446229374999398,0.006687839515507221,0.0025300057604908943,0.020190773531794548,0.040725968326992136,0.01965747689075889,0.03662385540407001,0.011373960912047914,0.2929208287006744,0.11625891,0.1827042,0.05406855,0.0,4.6852417,0.5300911,0.4544573,0.43603677,0.03430545,4.5333805
162940,122,158.05730152130127,24700,17974,11022.754817962646,189805440,24701,1.0001921968095329,0.9994638720576186,18135.711628104298,18603.072075059168,2.3618746424502386,0.8177308116049227,1335.5737704918033,366.877920420868,1403.0,677,2039,162.327868852459,127.64554165850947,135.0,21.0,394.0,50.39344262295082,23.878297086578527,49.0,16,97,13.25170594487598,4.429424911459723,12.500511238381922,7.45097500238959,23.26426709410938,162.327868852459,127.64554165850947,135.0,21.0,394.0,0.00811743471187344,0.0026754031172234257,0.00762055953964591,0.0031268089078366756,0.0212745051831007,0.04725129208425158,0.018170227208558,0.04406578830020084,0.015040095709971009,0.14370998231593649,0.12497626,0.20162727,0.057350755,0.0,4.443143,0.57923883,0.51584107,0.4521936,0.03145432,4.3455124
159619,121,172.0984582901001,26000,18920,11573.072259902954,199795200,26001,0.9994234095714011,0.9994618489333077,18152.722844433447,18628.009994522006,2.3622729372641067,0.8181049838306702,1319.1652892561983,335.13037667999697,1319.0,830,1799,182.8099173553719,147.3754587848984,86.0,30.0,367.0,53.78512396694215,27.746552644649714,41.0,21,88,14.670615104391144,5.327357546682008,10.953482612650582,8.829847708529726,26.119939221488092,182.8099173553719,147.3754587848984,86.0,30.0,367.0,0.010918171462387993,0.003489330961422912,0.010623614303767681,0.0035736344289034605,0.028980053961277008,0.06179525337416497,0.02436376643851628,0.05756223291025073,0.01793798295757216,0.21788676356517322,0.14633106,0.22670265,0.0698629,0.0,4.7815666,0.67396444,0.5630621,0.51260304,0.033212792,4.622798
165596,120,186.13306522369385,27301,19866,12121.919784784317,209784960,27302,1.0001921968095329,0.9994966274036041,18201.339255669147,18678.980377537588,2.3704215488285567,0.820897434089286,1379.9666666666667,327.7233063966546,1353.5,465,1995,192.20833333333334,128.98914010058712,165.0,14.0,414.0,55.483333333333334,23.463085664270352,57.0,11,96,15.272970064800331,7.119826744340292,13.921637009973253,6.499868911657755,43.966274798291415,192.20833333333334,128.98914010058712,165.0,14.0,414.0,0.011236428181862003,0.0029545529663957894,0.01081228069961071,0.004861440509557724,0.022077461704611778,0.06285511645553342,0.022035620511549895,0.058409749139985825,0.024854154743557982,0.2713020121992119,0.14603403,0.22736825,0.070463955,0.0,4.7163806,0.6888821,0.5716045,0.5164253,0.042334422,4.5736685
154178,120,199.98066115379333,28602,20812,12669.742431163788,219774720,28603,1.0001921968095329,0.9995282441947827,18235.390716360056,18708.289819146103,2.3748561849318133,0.823026666311198,1284.8166666666666,407.6371340488444,1363.5,642,2098,149.125,142.38056764062526,75.0,18.0,401.0,47.875,27.316223049072264,42.0,15,98,12.899576907490568,5.499925579093147,10.734796478073783,6.33021992100083,30.553874135149485,149.125,142.38056764062526,75.0,18.0,401.0,0.012336355747496116,0.0032959922570601915,0.01195449847728014,0.005063323769718409,0.02521338313817978,0.06728233430716392,0.025742080529400052,0.062230712788070776,0.022947974846697024,0.2983795000999207,0.15816149,0.23963028,0.07756516,0.0,4.6763606,0.71793747,0.58277106,0.536924,0.0446701,4.854087
154275,120,213.0126223564148,29903,21758,13213.411711215973,229764480,29904,1.0001921968095329,0.9995571116997719,18374.700146826606,18825.96576821637,2.3929989199962174,0.8293079940233347,1285.625,531.9962572315085,1280.0,265,2830,197.15,155.77818899533614,179.0,5.0,419.0,53.875,30.410952659636738,47.0,5,101,18.278418823637246,12.94164524392379,13.665114130937546,3.2239890301429552,45.96439393682119,197.15,155.77818899533614,179.0,5.0,419.0,0.012480411077595439,0.0032114629359526535,0.012058327905833721,0.005304878111928701,0.024157622829079628,0.06561397124258922,0.022364888897545256,0.061802648975306206,0.021188873588934197,0.18075595347333925,0.15810199,0.2408199,0.07841474,0.0,5.2446175,0.72967005,0.5927001,0.5442581,0.046082966,5.454101
182790,120,227.9466633796692,31203,22704,13761.930886745453,239754240,31204,0.9994234095714011,0.9995515407777564,18212.23476892487,18721.96085305942,2.3700174177960567,0.8215194575367494,1523.25,341.53887650846815,1541.0,497,2257,233.45,119.76086241617779,274.0,11.0,419.0,63.425,22.236479974732212,69.0,11,101,14.287329359644087,3.0099411325161576,13.879889499536407,5.251821784900664,21.327722541465306,233.45,119.76086241617779,274.0,11.0,419.0,0.014617365149136346,0.0038504483360617425,0.014179505407810211,0.006091253831982613,0.029813682660460472,0.07620706706612047,0.027905087867540156,0.07107768765644973,0.027480446737765046,0.24201590965789532,0.17315088,0.25820982,0.08733861,0.0,5.22208,0.780492,0.6254253,0.5895101,0.05289584,5.4182353
200176,120,246.60715198516846,32504,23650,14314.637593746185,249744000,32505,1.0001921968095329,0.9995771670190274,18074.251449217103,18705.7967192773,2.3538704769115024,0.8156345875501357,1668.1333333333334,364.2563184840526,1711.0,883,3250,277.2916666666667,116.77352695376732,259.5,32.0,421.0,73.09166666666667,21.281054106620022,71.0,23,103,18.79102072895921,10.627541213209568,15.629223946017007,7.790188865857277,54.6952429851031,277.2916666666667,116.77352695376732,259.5,32.0,421.0,0.014406602908438393,0.0038157338386684194,0.014002399519085884,0.005785321816802025,0.03184269741177559,0.07679919589051931,0.028854862222451205,0.07091516599786003,0.02643439894724701,0.29349213266775415,0.16905297,0.25645062,0.08533871,0.0,5.6951237,0.7826692,0.635145,0.5825918,0.046629652,5.4003944
